DistanceFromHome,HourlyRate,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,Age,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,StockOptionLevel,BusinessTravel_0,BusinessTravel_1,BusinessTravel_2,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_0,OverTime_1,ESI,EPS,CE,TSI,WBI,TIS,Attrition
-1.0109093429124179,1.3831382668932737,-0.10834951351067117,-1.1505541015749308,-0.42164245835933756,-0.16461310905422863,-0.063295899399149,-0.6791456840737199,0.24583399463483546,2.1251359240839385,0.4463504035345031,0.25,0.3333333333333333,0.6666666666666667,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,750.5,3.75,0.5,4.0,1
-0.14714972001373974,-0.2406767700620191,-0.29171858995657424,2.1293060069870897,-0.16451140099023315,0.48850772848886465,0.7649976209279952,-0.3687152874355457,0.8065414765793012,-0.6780493930322936,1.3223652142096962,0.0,0.6666666666666667,0.3333333333333333,0.25,0.3333333333333333,1.0,1.0,0.5,0.6666666666666667,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1288.25,6.25,3.0,0.125,0
-0.8875151110697495,1.2847252343505287,-0.9376536912260358,-0.057267398720923963,-0.5502079870438897,-1.1442943653688686,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,1.3242258334793007,0.008342998196906572,0.25,1.0,0.3333333333333333,0.0,0.6666666666666667,0.0,0.3333333333333333,0.5,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.5,701.6666666666666,0.0,1.5,1.5,1
-0.7641208792270812,-0.4867093514188816,-0.7636336754564013,-1.1505541015749308,-0.42164245835933756,0.16194730971731802,0.7649976209279952,0.2521455058408027,-1.1559347102263289,-0.6780493930322936,-0.42966440714069,0.75,1.0,0.6666666666666667,0.0,0.6666666666666667,0.0,0.6666666666666667,0.5,0.6666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.25,3.0,973.3333333333334,4.5,1.5,0.5,0
-0.8875151110697495,-1.2740136117608418,-0.6448581091374443,-0.8772324258614291,-0.678773515728442,-0.8177339465973219,-0.6154915796172451,-0.058284890797371494,-0.5952272282818631,2.5255909693862573,-1.0866755151470848,0.0,0.0,0.6666666666666667,0.0,0.3333333333333333,0.0,1.0,0.5,0.6666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.5,3.0,1740.0,2.0,3.0,1.0,0
-0.8875151110697495,0.645040522822686,-0.7298495698307945,-0.6039107501479274,-0.42164245835933756,-0.0013328996684553085,0.7649976209279952,0.2521455058408027,0.5261877356070683,-1.0785044383346125,-0.5391662584750891,0.25,1.0,0.6666666666666667,0.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.25,3.0,770.25,5.75,2.0,1.0,0
-0.7641208792270812,0.743453555365431,-0.814416073220678,1.3093409798465847,0.09261965637887129,-0.9810141559830953,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,0.523315742874663,2.4173837275536876,0.5,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.75,4.0,2690.0,0.25,1.0,0.3333333333333333,0
1.827157989468953,0.05456232756621595,-0.8095290642308104,1.855984331273588,-1.3216011591512031,-0.9810141559830953,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,-0.6780493930322936,-0.7581699611438873,0.0,1.0,0.6666666666666667,0.0,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.5,905.0,0.25,3.0,0.125,0
1.7037637576262845,-1.0771875466753518,0.6423375630633446,1.5826626555600865,-0.16451140099023315,0.32522751910309133,0.7649976209279952,-0.3687152874355457,1.086895217551534,-1.0785044383346125,0.11784484953130571,0.5,1.0,0.3333333333333333,0.5,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1060.7777777777778,6.25,3.0,0.06521739130434782,0
2.197340684996958,1.3831382668932737,-0.2689833742211031,-0.6039107501479274,0.7354472998016324,-0.0013328996684553085,0.7649976209279952,1.4938670923934996,0.8065414765793012,1.3242258334793007,-0.10115885313749257,0.5,0.6666666666666667,0.6666666666666667,0.25,0.6666666666666667,0.0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.5,3.0,875.0,7.0,2.0,0.1111111111111111,0
